wahl_jahr;kanton_nummer;kanton_bezeichnung;partei_id;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;letzte_wahl_anzahl_gewaehlte;letzte_wahl_anzahl_gewaehlte_f;letzte_wahl_anzahl_gewaehlte_m;differenz_anzahl_gewaehlte;differenz_anzahl_gewaehlte_f;differenz_anzahl_gewaehlte_m;fiktive_waehlende;letzte_wahl_fiktive_waehlende;differenz_fiktive_waehlende;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei;partei_rang
2019;0;Schweiz;1;FDP;PLR;PLR;FDP;64;523;195;328;29;10;19;33;7;26;-4;3;-7;366312.85289;413445.31517;-47132;15.110295632;16.39678712;-1.286491488;0;3
2019;0;Schweiz;2;CVP;PDC;PPD;CVP;77;702;281;421;25;7;18;27;9;18;-2;-2;0;275854.99172;293652.36747;-17797;11.378935911;11.645930381;-0.26699447;0;5
2019;0;Schweiz;3;SP;PS;PS;SP;76;604;308;296;39;25;14;43;25;18;-4;0;-4;408134.04423;475074.39668;-66940;16.835407268;18.840928807;-2.005521539;0;2
2019;0;Schweiz;4;SVP;UDC;UDC;SVP;67;569;126;443;53;13;40;65;11;54;-12;2;-14;620349.89936;740966.80071;-120617;25.589247827;29.385929526;-3.796681699;1;1
2019;0;Schweiz;7;EVP;PEV;PEV;EVP;23;306;147;159;3;2;1;2;2;0;1;0;1;50317.220712;47770.03749;2547;2.0755703065;1.8945072219;0.1810630846;0;8
2019;0;Schweiz;8;CSP;PCS;PCS;CSP;6;25;11;14;0;0;0;0;0;0;0;0;0;6237.8000074;5272.4314282;965;0.2573073848;0.2090988398;0.048208545;0;14
2019;0;Schweiz;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;12;159;72;87;2;1;1;1;0;1;1;1;0;25428.161469;21573.866544;3854;1.048904056;0.8555958529;0.1933082031;0;10
2019;0;Schweiz;12;FGA;AVF;AVF;FGA;2;37;19;18;0;0;0;;;;0;0;0;7709.3001635;;7709;0.3180063262;;0.3180063262;0;13
2019;0;Schweiz;13;GPS;PES;PES;GPS;49;455;252;203;28;17;11;11;5;6;17;12;5;319996.95751;177944.17526;142053;13.199778799;7.0570705579;6.1427082412;0;4
2019;0;Schweiz;14;SD;DS;DS;SD;6;64;16;48;0;0;0;0;0;0;0;0;0;3201.8493777;3079.2490564;123;0.1320753293;0.1221196357;0.0099556936;0;16
2019;0;Schweiz;16;EDU;UDF;UDF;EDU;11;114;26;88;1;0;1;0;0;0;1;0;1;24147.272346;29939.007839;-5792;0.9960677628;1.1873481694;-0.191280407;0;11
2019;0;Schweiz;18;Lega;Lega;Lega;Lega;1;8;2;6;1;0;1;2;1;1;-1;-1;0;18196.981051;25220.777909;-7024;0.7506200264;1.0002283524;-0.249608326;0;12
2019;0;Schweiz;31;GLP;PVL;PVL;GLP;43;477;194;283;16;8;8;7;3;4;9;5;4;189162.47308;116640.41232;72522;7.8028954435;4.6258306487;3.1770647948;0;6
2019;0;Schweiz;32;BDP;PBD;PBD;BDP;20;207;65;142;3;1;2;7;1;6;-4;0;-4;59206.051339;103476.3631;-44270;2.4422319115;4.1037589143;-1.661527003;0;7
2019;0;Schweiz;33;MCR;MCR;MCR;MCR;1;9;3;6;0;0;0;1;0;1;-1;0;-1;5337.5178557;8183.9989634;-2846;0.2201710153;0.3245684106;-0.104397395;0;15
2019;0;Schweiz;35;Übrige;Autres;Rimanenti;Others;53;386;156;230;0;0;0;1;0;1;-1;0;-1;44666.626894;59262.800059;-14596;1.8424850014;2.3502975631;-0.507812562;0;9
2019;1;Zürich;1;FDP;PLR;PLR;FDP;2;70;21;49;5;2;3;5;2;3;0;0;0;57290.188554;65541.168516;-8251;13.660914879;15.321626513;-1.660711634;0;5
2019;1;Zürich;2;CVP;PDC;PPD;CVP;4;140;82;58;1;0;1;2;2;0;-1;-2;1;18487.833544;17897.235757;591;4.4084463101;4.1838552483;0.2245910618;0;6
2019;1;Zürich;3;SP;PS;PS;SP;2;69;33;36;7;5;2;9;5;4;-2;0;-2;72590.406127;91508.239784;-18918;17.309270298;21.391975525;-4.082705227;0;2
2019;1;Zürich;4;SVP;UDC;UDC;SVP;3;103;21;82;10;2;8;12;2;10;-2;0;-2;111972.63333;131246.23282;-19274;26.700010093;30.681567111;-3.981557018;1;1
2019;1;Zürich;7;EVP;PEV;PEV;EVP;3;105;69;36;1;0;1;1;1;0;0;-1;1;13845.608799;13335.723463;510;3.3015021947;3.1175058181;0.1839963766;0;7
2019;1;Zürich;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;1;35;9;26;0;0;0;0;0;0;0;0;0;1300.9264071;1026.6532965;274;0.3102074781;0.2400017992;0.0702056789;0;12
2019;1;Zürich;12;FGA;AVF;AVF;FGA;1;35;18;17;0;0;0;;;;0;0;0;6741.2477066;;6741;1.6074586839;;1.6074586839;0;10
2019;1;Zürich;13;GPS;PES;PES;GPS;3;89;46;43;5;3;2;2;0;2;3;3;0;59035.609885;29469.966711;29566;14.07711271;6.8892244905;7.1878882193;0;3
2019;1;Zürich;14;SD;DS;DS;SD;1;35;8;27;0;0;0;0;0;0;0;0;0;782.83751593;753.42664786;29;0.1866685542;0.176129324;0.0105392303;0;13
2019;1;Zürich;16;EDU;UDF;UDF;EDU;1;35;8;27;0;0;0;0;0;0;0;0;0;6753.6905759;8815.5081964;-2062;1.6104257012;2.0608104366;-0.450384735;0;9
2019;1;Zürich;31;GLP;PVL;PVL;GLP;4;140;59;81;6;4;2;3;1;2;3;3;0;58689.42225;34905.350531;23784;13.994563849;8.1598597679;5.8347040809;0;4
2019;1;Zürich;32;BDP;PBD;PBD;BDP;1;35;15;20;0;0;0;1;1;0;-1;-1;0;6878.8089425;15497.212186;-8618;1.6402603273;3.6227992646;-1.982538937;0;8
2019;1;Zürich;35;Übrige;Autres;Rimanenti;Others;6;75;26;49;0;0;0;0;0;0;0;0;0;5003.7863643;17772.282094;-12768;1.1931589216;4.1546447018;-2.96148578;0;11
2019;2;Bern / Berne;1;FDP;PLR;PLR;FDP;3;68;25;43;2;1;1;2;1;1;0;0;0;29069.385729;33032.95407;-3964;8.360142453;9.3306312993;-0.970488846;0;5
2019;2;Bern / Berne;2;CVP;PDC;PPD;CVP;2;48;16;32;0;0;0;0;0;0;0;0;0;6511.5386945;6495.5252346;16;1.8726708428;1.8347541952;0.0379166476;0;10
2019;2;Bern / Berne;3;SP;PS;PS;SP;4;82;41;41;4;3;1;6;3;3;-2;0;-2;58495.534036;69663.135654;-11168;16.822887211;19.677351065;-2.854463854;0;2
2019;2;Bern / Berne;4;SVP;UDC;UDC;SVP;2;48;14;34;7;2;5;9;2;7;-2;0;-2;104421.39314;117263.25169;-12842;30.030827962;33.122686034;-3.091858072;1;1
2019;2;Bern / Berne;7;EVP;PEV;PEV;EVP;2;48;21;27;1;1;0;1;1;0;0;0;0;14522.660293;15249.593672;-727;4.1766107471;4.3074662871;-0.13085554;0;7
2019;2;Bern / Berne;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;1;22;12;10;0;0;0;0;0;0;0;0;0;2145.9279597;1843.9128947;302;0.617153166;0.5208396237;0.0963135423;0;11
2019;2;Bern / Berne;13;GPS;PES;PES;GPS;2;48;29;19;4;3;1;2;2;0;2;1;1;47237.093284;30116.423749;17121;13.585042099;8.506815511;5.0782265881;0;3
2019;2;Bern / Berne;14;SD;DS;DS;SD;1;12;4;8;0;0;0;0;0;0;0;0;0;1272.7973837;1571.1499661;-298;0.3660472065;0.4437938254;-0.077746619;0;12
2019;2;Bern / Berne;16;EDU;UDF;UDF;EDU;1;24;4;20;1;0;1;0;0;0;1;0;1;8525.5508989;10059.63557;-1534;2.4518860037;2.8414882395;-0.389602236;0;9
2019;2;Bern / Berne;31;GLP;PVL;PVL;GLP;3;72;36;36;3;2;1;2;1;1;1;1;0;33850.552166;21233.799344;12617;9.7351709065;5.9977909436;3.7373799629;0;4
2019;2;Bern / Berne;32;BDP;PBD;PBD;BDP;2;48;16;32;2;1;1;3;0;3;-1;1;-2;27961.209093;41619.460069;-13658;8.0414389679;11.756012979;-3.714574011;0;6
2019;2;Bern / Berne;35;Übrige;Autres;Rimanenti;Others;11;131;56;75;0;0;0;0;0;0;0;0;0;13700.357321;5878.1580913;7822;3.9401224343;1.6603699976;2.2797524367;0;8
2019;3;Luzern;1;FDP;PLR;PLR;FDP;3;26;15;11;1;0;1;2;0;2;-1;0;-1;20712.596456;25130.601162;-4418;15.558173557;18.465891575;-2.907718018;0;3
2019;3;Luzern;2;CVP;PDC;PPD;CVP;8;57;22;35;3;2;1;3;2;1;0;0;0;33934.992449;32460.178703;1475;25.490116765;23.851643523;1.638473242;1;1
2019;3;Luzern;3;SP;PS;PS;SP;6;49;26;23;1;1;0;1;1;0;0;0;0;17996.046908;18452.790995;-457;13.517649597;13.55905637;-0.041406773;0;4
2019;3;Luzern;4;SVP;UDC;UDC;SVP;7;55;16;39;2;1;1;3;1;2;-1;0;-1;32944.361719;38806.696535;-5862;24.746008953;28.515046098;-3.769037145;0;2
